COD_INDICADOR;COD_UNIDAD;COD_AREA;COD_SEC_ECO;COD_NORMA;COD_HITO;NOMBRE_ACTIVIDAD;PRODUCTO ESPERADO;UNIDAD DE MEDIDA;CMI;CLASIFICADOR RELACIONADO;CODCLASIFICADOR;NOMCLASIFICADOR;COD_ACTIVIDADPADRE;COD_PERSONAL;COD_FUNCION;ACTIVIDAD_DIRECTA_APOYO(DIRECTA=1 APOYO=0);PLAN_MENSUAL_UNICA(MENSUAL=1 UNICA=0);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;ENE_E;FEB_E;MAR_E;ABR_E;MAY_E;JUN_E;JUL_E;AGO_E;SEP_E;OCT_E;NOV_E;DIC_E
110;829;39;28;;;RLP-TCP-CSP-00115 VOTORANTIM CIMENTO N/NE S/A  ;Servicio ejecutado;Bs;SI;;4284;Cli;11008;347;;1;1;435;18165.6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RLP-TCP-CSP-00118 MOLINO Y FABRICA DE FIDEOS AURORA S.R.L.  ;Servicio ejecutado;Bs;SI;;2849;Cli;11008;347;;1;1;0;0;13850.4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;29;;;RLP-TCP-CSP-00122 IPS  S.A.I.C y F.  ;Servicio ejecutado;Bs;SI;;3262;Cli;11008;347;;1;1;0;0;0;0;0;0;32016;0;0;0;0;0;;;;;;;;;;;;
110;829;39;29;;;RLP-TCP-CSP-00125 INDUSTRIAS SALADILLO S.A.  ;Servicio ejecutado;Bs;SI;;2100;Cli;11008;347;;1;1;0;0;0;0;0;32274.22;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00126 PRODUCTOS DE ACERO CASSADO S.A. PRODAC  ;Servicio ejecutado;Bs;SI;;2140;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;0;0;33303.6;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00132 O-TEK ARGENTINA  ;Servicio ejecutado;Bs;SI;;2130;Cli;11008;347;;1;1;0;0;0;0;0;0;0;31789.8;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RLP-TCP-CSP-00133 INGENIO AZUCARERO ROBERTO BARBERY PAZ S.A. (UNAGRO)  ;Servicio ejecutado;Bs;SI;;2173;Cli;11008;347;;1;1;0;0;0;0;0;65396.16;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RLP-TCP-CSP-00133 SOCIEDAD INDUSTRIAL MOLINERA S.A. SIMSA  ;Servicio ejecutado;Bs;SI;;2154;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;12110.4;0;0;0;;;;;;;;;;;;
110;829;39;28;;;ROR-TCP-CSP-00009 SOBOCE S.A. READIMIX - PLANTA ORURO  ;Servicio ejecutado;Bs;SI;;3867;Cli;11008;347;;1;1;0;12110.4;0;0;0;0;0;0;2785.39;0;0;0;;;;;;;;;;;;
110;829;39;40;;;ROR-TCP-CSP-00113 EMPRESA METALURGICA VINTO  ;Servicio ejecutado;Bs;SI;;2069;Cli;11008;78;;1;1;0;15660;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;ROR-TCP-CSP-00114 CORINSA SRL  ;Servicio ejecutado;Bs;SI;;2970;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;28647.36;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00035 PREFORTE S.A.  ;Servicio ejecutado;Bs;SI;;3184;Cli;11008;347;;1;1;0;0;8320.158;28647.36;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RSC-TCP-CSP-00044 INDUSTRIAS OLEAGINOSAS S.A. (IOL)  ;Servicio ejecutado;Bs;SI;;2110;Cli;11008;347;;1;1;0;0;8356.18;27342.36;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00045 PLAMAT S.A.  ;Servicio ejecutado;Bs;SI;;2136;Cli;11008;347;;1;1;0;9748.87;0;38335.68;0;0;0;0;0;0;0;0;;;;;;;;;;;;
