partida;nombre;ENE;FEB;MAR;ABRIL;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
7.1002E+13;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
7.1002E+13;x;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667
7.1002E+13;x;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667
7.1003E+13;x;920;920;920;920;920;920;920;920;920;920;920;920
7.1003E+13;x;920;920;920;920;920;920;920;920;920;920;920;920
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
7.1003E+13;x;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
7.1003E+13;x;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667;666.6666667
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333;833.3333333
7.1003E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1003E+13;x;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667
7.1006E+13;x;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75;3159.75
7.1006E+13;x;0;0;0;0;0;0;0;0;0;0;0;0
7.1006E+13;x;0;0;0;0;0;0;0;0;0;0;0;0
7.1006E+13;x;0;0;0;0;0;0;0;0;0;0;0;0
7.1007E+13;x;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333;3750.583333
